Italian,English
donna,woman
nuovo,new
ah,ah
faccio,I do
aveva,had
nostro,our
degli,of the
questi,these
siete,you are
forza,force
piace,like it
bella,beautiful
dov',where
soldi,money
avevo,I had
favore,favor
fosse,it were
altri,others
dispiace,sorry
subito,immediately
dentro,inside
oggi,today
accordo,agreement
tutta,all
faccia,face
nome,first name
ok,ok
notte,night
queste,these
figlio,son
mondo,world
nostra,our
sapere,know
vado,I'm going
tutte,all
aspetta,Wait
amare,love
moglie,wife
sicuro,Safe
suoi,its
penso,I think
paura,fear
idea,idea
testa,head
papà,dad
giusto,right
eh,eh
vorrei,I would like
senti,hear
presto,soon
uomini,men
ll,ll
basta,enough
potrebbe,could be
stesso,same
avuto,had
porta,brings
erano,they were
stare,to stay
buona,good
quindi,so
farlo,to do it
appena,just
abbia,have
ragione,reason
sentito,heard
ragazzi,lads
domani,tomorrow
ragazza,lass
ragazzo,boy
insieme,together
sotto,under
volevo,I wanted
pronto,ready
nei,in the
ciò,that is
volte,times
capito,understood
succede,happens
preso,taken
facendo,doing
piacere,pleasure
morto,died
tuoi,your
capitano,captain
letto,read
storia,history
caso,case
trovato,found it
amici,friends
venire,come
dico,I say
capisco,I understand
problema,problem
fino,until
tipo,guy
là,there
qua,here
pensi,think
aver,have
giorni,days
cazzo,cock
okay,okay
nulla,nothing
bello,Handsome
persone,people
buon,good
terra,Earth
ia,ia
dato,given
secondo,second
film,movie
nell',in the'
mano,but no
facciamo,we do
vediamo,we see
vedo,I see
stanno,they are
avrei,I would have
prendere,to take
dici,you say
serve,serve
morte,death
meno,less
città,city
occhi,eyes
fine,end
Sig.,Mr
ê,And
tesoro,treasure
scusi,excuse me
primo,first
credi,believe
salve,Hello
nave,ship
stiamo,we are
sera,evening
piano,plan
sento,I feel
macchina,car
vostro,your
mani,hands
neanche,not even
dall',by
dottore,doctor
quale,which
abbastanza,enough
tardi,late
bel,nice
cuore,heart
famiglia,family
far,make
stati,States
aiuto,Help
diavolo,Devil
nostri,our
col,with the
quasi,almost
polizia,police
capo,boss
avrebbe,it would have
quei,those
mie,my
tornare,return
però,However
contro,versus
viene,he comes
mentre,while
scusa,excuse me
sola,alone
spero,I hope
quelle,those
trovare,to find
giro,round
anch',Anch '
guerra,war
sue,his
bambino,child
strada,Street
vecchio,old
fratello,brother
acqua,water
stasera,this evening
pensavo,I thought
chiama,who loves
persona,person
vedi,you see
fu,was
anno,year
vostra,yours
veramente,truly
finito,finished
marito,husband
minuti,minutes
giù,below
donne,women
bravo,good boy
bambini,children
ricordi,memories
quelli,those
state,state
ore,hours
stavo,I was
dovuto,due
nemmeno,neither
venuto,coming
indietro,backards
stessa,itself
importa,it matters
nessun,no
punto,point
invece,instead
perso,lost
possibile,possible
ucciso,killed
forte,strong
pensato,thought
dovrebbe,should
pensa,thinks
poco,little
parla,speak out
farò,Lighthouse
cercando,looking for
l,L
verità,truth
andato,left
quell',that'
re,king
fanno,they do
potrei,I could
importante,important
quest',This
amo,I love
chiesto,asked
cosi,as
nelle,in
felice,happy
piedi,feet
merda,shit
piccolo,small
prendi,take
dietro,behind
sapevo,knew
buongiorno,Good morning
passato,past
dollari,dollars
com',com
pure,mashed potato
pensare,think
cinque,five
vicino,near
uscire,go out
conosco,I know
verso,towards
altre,other
quattro,four
morire,die
sangue,blood
John,John
eri,you was
almeno,at least
dica,say
lascia,leaves
vivere,to live
colpa,guilt
portato,carried
entrare,to come in
ricordo,I remember
pace,peace
roba,stuff
Jack,Jack
migliore,improve
fate,you do
difficile,hard
settimana,week
ultima,ultimate
dovrei,I should
fatta,made
conto,bill
stanza,room
fra,between
comunque,anyway
sentire,hear
numero,number
parlato,spoken
mente,mind
messo,put
strano,strange
fortuna,fortune
perdere,lose
tue,yours
né,neither
figlia,daughter
molti,many
volete,you want
dottor,dottor
parola,word
signori,gentlemen
andata,round
vista,view
vede,see
nessuna,none
finché,as long as
dare,give
dammi,give me
Mr.,Mr.
mesi,months
fuoco,fire
voleva,she wanted
mangiare,eat
lasciato,left
figli,sons
serio,serious
paese,village
farà,will make
capire,understand
mezzo,middle
prova,trial
cara,Dear
perche',because'
cane,dog
dimmi,tell me
fossi,you were
senso,sense
James,James
riesco,I can
ieri,yesterday
possa,may
potuto,could
scuola,school
S.,S.
possono,can
lavorare,to work
significa,it means
resto,rest
vada,go
piccola,small
pare,it seems
bere,drinking
ben,well
cena,dinner
giovane,young
problemi,problems
quanti,how many
gran,great
attimo,moment
ascolta,listens
agli,to
dovresti,you should
corpo,body
musica,music
gioco,game
qual,a
aria,air
sarò,I will be
farmi,do
magari,let's hope
davanti,front
new,new
chiamo,call
genere,gender
libro,book
domanda,request
chiamato,called
passare,pass
dalle,give her
campo,field
lungo,long
torna,back
paio,pair
stava,stood
finita,finite
saranno,they will be
vogliono,they want
hey,hey
cielo,sky
parole,words
auto,car
sorella,sister
nuova,new
stia,stia
signorina,Miss
festa,party
spiace,sorry
sopra,over it
bisogna,must
vuol,vuol
telefono,phone
affari,business
facile,easy
parlando,speaking
caro,expensive
sui,on
pronti,ready
restare,to remain
attenzione,Attention
crede,you think
nostre,our
controllo,check
molte,many
unica,unique
dovremmo,we should
farti,make yourself
soltanto,only
piu',more'
buono,good
puttana,whore
vivo,I live
sappiamo,we know
luce,light
generale,general
qualsiasi,any
vogliamo,we want
ultimo,last
dicono,they say
benissimo,very good
Harry,Harry
foto,photo
unico,one of a kind
onore,honor
ragazze,girls
scritto,written
andate,go
tieni,keep
siano,they are
ufficio,office
entra,come in
chiedo,ask
coraggio,courage
andando,going
venga,come
dieci,ten
credevo,I thought
voglia,wants
potremmo,we could
esatto,exact
credere,to believe
tratta,deals with
eravamo,we were
arrivato,arrived
bambina,girl
pistola,pistol
voce,voice
dormire,sleep
lasci,leave
avessi,I had
chiaro,clear
aspetto,appearance
squadra,squad
attento,careful
cerca,near
ordine,order
Joey,Joey
arrivederci,until we meet again
arriva,he arrives
armi,weapons
sulle,on
ormai,at this point
maggiore,greater
fretta,rush
sarai,you will be
sacco,sack
fatti,facts
York,York
parli,you speak
colpo,hit
sarei,I would be
m',m
caffè,coffee
capisci,Do you understand
dicendo,saying
vostri,your
camera,room
alcuni,some
cercare,search for
arrivo,I arrive
aspettare,wait
situazione,situation
faremo,we will do
deciso,decided
esattamente,exactly
dev',dev
addio,goodbye
scena,scene
inglese,English
perfetto,perfect
potete,you can
fammi,do for me
alto,tall
dello,of the
prendo,I take
conosci,you know
be',be
sapete,You know
pazzo,crazy
chiami,who do you Love
tornato,got back
sicura,safe
lasciare,to leave
capelli,hair
potere,power
avevi,you had
morti,dead
avrà,will have
fantastico,fantastic
matrimonio,marriage
passo,step
portare,bring
aspetti,aspects
torno,turn
arrivare,arrive
guai,trouble
trova,finds
motivo,reason
resta,remains
inizio,Start
smettila,stop that
diventare,become
potresti,could
n',n '
voluto,desired
vanno,they go
disse,She said
morta,dead
de,de
bagno,bathroom
zio,uncle
futuro,future
sbagliato,wrong
guardi,look
cosi',as'
sicurezza,safety
pezzo,piece
devono,must
venuta,coming
allo,at the
tenente,lieutenant
silenzio,silence
porto,port
uccidere,kill
odio,hate
sull',On
giocare,to play
lontano,distant
durante,during
segreto,secret
sole,Sun
mettere,put
venite,Come
dirmi,tell me
sistema,system
viaggio,voyage
causa,cause
r,r
comandante,commander
settimane,weeks
semplice,simple
minuto,minute
divertente,fun
avresti,you would have
grandi,large
presidente,president
bocca,mouth
permesso,permit
vecchia,old
culo,ass
sogno,dream
glielo,it
c,c
guardare,watch
probabilmente,probably
vengo,I come
lasciami,leave me
ie,ie
negli,in
do,do
fermo,stopped
zitto,Shut up
vera,real
tante,many
ln,ln
colonnello,colonel
stupido,stupid
Cristo,Christ
conosce,knows
fame,hunger
cura,treatment
prigione,prison
finire,to finish
farai,do
d,d
buonanotte,good night
Tom,Tom
prossima,next
brava,good
specie,species
prende,takes
piacerebbe,would like
circa,about
funziona,Works
dovete,you have to
brutto,ugly
vattene,get out
sente,feel
cavallo,horse
peccato,Sin
mattina,morning
consiglio,Advice
cambiare,change
saperlo,know
usare,use
naturalmente,naturally
continua,keep it going
scelta,choice
possibilità,possibility
spesso,often
dà,from
dirti,tell you
piuttosto,Rather
trovo,I find
fondo,background
ricorda,remember
guardate,watch
ospedale,hospital
qualunque,any
Maria,Mary
andrà,will go
legge,law
agente,agent
oltre,beyond
avesse,he had
servizio,service
tanti,many
messaggio,message
giornata,day
faceva,did
energia,power
incredibile,incredible
sala,room
mandato,mandate
chiamare,to call
doveva,where you go
libero,free
aereo,airplane
ricevuto,received
porti,ports
preoccuparti,care
uh,uh
finalmente,long last
quali,Which
stronzo,asshole
mostro,monster
sette,seven
pronta,ready
metti,you put
Henry,Henry
programma,program
poteva,he could
parti,set off
saputo,known
partita,match
gentile,Kind
poter,be able
freddo,cold
s',s'
piacciono,like
Clark,Clark
vederti,see you
domande,requests
peggio,worse
sanno,know
genitori,parents
amica,friend
solito,usual
anima,soul
terribile,terrible
buonasera,good evening
oro,gold
occhio,eye
si',Yes'
radio,radio
quante,how much it is
pieno,full
rapporto,relationship
avrai,you will have
alcune,someone
provare,try out
carino,cute
scoperto,discovery
America,America
denaro,money
compagnia,company
interessante,Interesting
avvocato,lawyer
t',t
vestito,dress
ottimo,optimal
avevano,they had
esercito,army
vestiti,clothes
treno,train
succedendo,happening
mese,month
impossibile,impossible
chiunque,whoever
vale,vale
nello,in
milioni,millions
cibo,food
tempi,time
jim,jim
piu,more
laggiù,over there
intorno,around
servono,serve
chiave,key
coi,with
diritto,right
dimenticato,forgotten
ve,ve
natale,Christmas
calma,calm
altrimenti,otherwise
t,t
Miss,Miss
provato,tried
dirlo,tell him
cinema,cinema
chiedere,ask
ritardo,delay
realtà,reality
mare,sea
maestro,master
TV,TV
pagare,to pay
pianeta,planet
fronte,forehead
addosso,on
entrambi,both of them
dia,dia
cambiato,changed
interessa,interest
assolutamente,absolutely
risposta,answer
rispetto,respect
pena,penalty
Gesù,Jesus
Michael,Michael
incontro,encounter
cercato,looked for
occhiata,look
pensando,think
cioè,that is
the,The
notizie,news
sorpresa,surprise
bastardo,Bastard
salute,health
lettera,letter
incidente,accident
grosso,big
soli,sole
mica,not
sembrava,It seemed
grado,grade
aiutare,to help
sinistra,left
dovevo,I had to
contento,happy
canzone,song
sapeva,He knew
santo,holy
verrà,it will come
saremo,We will be
speciale,special
diceva,he said
posizione,position
gruppo,group
giuro,I swear
